INDEX, TIME, CORRECT_WORDS, NUM_ALL_WORDS, NUM_DISTRACTIONS, NUM_KEYS_PRESSED, NUM_MONKEYS, MIN_MONKEY_SPEED, MAX_MONKEY_SPEED, AVE_MONKEY_SPEED, NUM_SERVICE, MIN_SERVICE_TIME, MAX_SERVICE_TIME, AVE_SERVICE_TIME, NUM_REPAIRS, MIN_REPAIR_TIME, MAX_REPAIR_TIME, AVE_REPAIR_TIME 
1, 792996087.5080464, EPHOD, 3668, 71439, 18336, 101885, 0.00021589106277275505, 1221.105829881559, 206.3849127939187, 18336, 7.87017917768624e-05, 9.668883556263195, 1.0064648968924397, 12110, 0.0012548106377709284, 305.863228707653, 0.0 
2, 2511127495.1974273, OFFED, 11616, 225442, 58076, 322533, 5.121341217062536e-05, 1179.0999904793393, 205.86901093237896, 58076, 1.7526950616818737e-05, 10.768167412383782, 0.9964986393483037, 39015, 0.0007621324600647246, 289.03610276516014, 0.0 
3, 211017892.96207094, DOLCE, 970, 19055, 4846, 27097, 0.01594419890346188, 1187.414022875026, 207.4057527921317, 4846, 0.00038950023301994994, 9.371476614568719, 0.9705854578625455, 3196, 0.017990759619359396, 232.52918996680822, 0.0 
4, 1591826264.657339, BEECH, 7392, 143386, 36956, 204965, 0.0007484510141821943, 1198.0522517737659, 205.66002269519885, 36956, 1.5233878977157916e-05, 13.579255211373324, 1.0047786893176702, 24623, 0.0003679442037664843, 294.50047136342914, 0.0 
5, 484459574.3033154, PACED, 2236, 44116, 11176, 62812, 0.0021380266067581033, 1060.539287504547, 204.8218631499508, 11176, 1.4456795642604896e-05, 8.920476901367756, 0.9995462495434294, 7520, 0.00692857654856556, 262.6572293938233, 0.0 
6, 815359658.326503, FENCE, 3765, 73736, 18821, 105133, 0.0006124106899534354, 1102.5332764459454, 205.73921426101063, 18821, 2.4392244517012157e-05, 13.359362257731878, 1.0106195910213975, 12576, 0.0009041024069600012, 344.2797293109638, 0.0 
7, 1770944972.3775122, DOPED, 8212, 159060, 41056, 227626, 0.001026356037449716, 1160.0251550030775, 206.00945881076137, 41056, 1.4849612205354704e-05, 10.330040737383246, 1.0004470017742382, 27510, 0.0002869489319305707, 346.196662517797, 0.0 
8, 1349349980.194911, LOPED, 6264, 121505, 31316, 173508, 0.0010105771750588133, 1207.226259811978, 205.56587905821826, 31316, 1.2132072858384209e-05, 9.832426641122385, 1.0098717986762826, 20687, 0.0001352328362178797, 347.6456301370629, 0.0 
9, 537257765.1705605, APPLE, 2483, 48225, 12411, 68905, 8.879401779182672e-05, 1195.8999028063959, 206.34504662798545, 12411, 4.333901587163608e-05, 10.192884071404855, 0.9919599023641209, 8269, 0.007700215158332955, 246.32467313335863, 0.0 
10, 484063142.9858544, EPHOD, 2267, 43215, 11331, 62064, 0.008581706531153088, 1205.4622848494773, 206.20861678203033, 11331, 0.0002637119709842163, 9.170098286815582, 1.009217464146396, 7518, 0.008750849091111556, 293.1219939591494, 0.0 
11, 1408140277.9685264, OFFAL, 6500, 126705, 32496, 180712, 2.6604269038443817e-05, 1222.5060133006334, 206.48756047550742, 32496, 1.1895796134664584e-05, 11.274523310844462, 0.9907562041039063, 21511, 0.0018999998926720115, 306.9199128827962, 0.0 
12, 691582244.8756967, BOFFO, 3239, 62311, 16191, 89065, 0.0030786241863509645, 1104.4252348668965, 205.34963558372505, 16191, 6.29065061741527e-05, 12.58829585460339, 1.0161034479504147, 10563, 0.0024012606048644776, 230.48880641797817, 0.0 
13, 864462488.2986578, CAPED, 4014, 78159, 20066, 111601, 0.00021694408812322763, 1128.9062986985, 205.79436414814165, 20066, 5.392108781734487e-05, 11.576638077489822, 0.993612906374292, 13376, 5.808017047308028e-05, 371.86750623259803, 0.0 
14, 765467382.8462335, OFFEN, 3516, 69229, 17576, 98673, 0.0014326904747790081, 1126.0495899426646, 206.054202731072, 17576, 7.924373071909888e-05, 14.845330875474954, 1.016104231485644, 11868, 0.005523364753565281, 308.7003112510491, 0.0 
15, 687994072.5771921, POLED, 3169, 62151, 15841, 88697, 0.0007446256446996813, 1156.6581607937592, 205.42373314161821, 15841, 5.699719767799003e-05, 11.330046985457214, 1.0006026605193727, 10705, 0.0011243084168493524, 300.7627201268324, 0.0 
16, 1074027177.1886644, ENDED, 4995, 97005, 24971, 138515, 0.003029212456794994, 1228.284205167283, 205.5409619648044, 24971, 2.5242366398029596e-05, 10.60166397530241, 0.9935516927976527, 16539, 0.00014852969233669795, 246.2422780159384, 0.0 
17, 2782073431.3270283, POLED, 12851, 249300, 64251, 356199, 0.0011519752471471634, 1335.9726540874838, 206.69401844120836, 64251, 2.7499327188079495e-05, 10.741965481764218, 1.0050126660444585, 42648, 0.00016502265253975253, 348.1801433402346, 0.0 
18, 1936507122.4751425, FELLA, 8933, 174927, 44661, 249511, 0.0008633308057852673, 1170.7015425108714, 205.90913689758494, 44661, 7.789031696430516e-06, 13.466638943484424, 0.9995526882595261, 29923, 0.00030686075624051395, 281.62657539825034, 0.0 
19, 226269343.8604594, FADED, 1057, 20163, 5281, 28946, 0.015658320661145808, 1243.8392720822678, 206.8770323409012, 5281, 0.0001476240738139738, 10.503695635002263, 0.9875513860088111, 3502, 0.01769226710718665, 227.85127156898847, 0.0 
20, 2140588419.835104, OFFEN, 9955, 192790, 49771, 275550, 0.0013193065630403567, 1201.5158463376997, 205.60570142122194, 49771, 1.8116997253815965e-05, 11.626536528713125, 0.9926067754268997, 32989, 4.9698799358317525e-05, 317.3464160873936, 0.0 
